patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20180529T115401_N9999_R023_T29UNB_90_39,['Marine waters'],train,Ireland,S1A_IW_GRDH_1SDV_20180529T181504_29UNB_90_39,S2A_MSIL2A_20180529T115401_90_39,False,False
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_03_86,['Marine waters'],train,Portugal,S1B_IW_GRDH_1SDV_20171004T064231_29SNC_3_86,S2A_MSIL2A_20171002T112111_3_86,False,False
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_43_10,"['Coniferous forest' 'Inland wetlands' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_43_10,S2B_MSIL2A_20170709T094029_43_10,False,False
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_05_53,['Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20180225T063817_29UPU_5_53,S2A_MSIL2A_20180225T114351_5_53,False,False
S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_60_04,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Transitional woodland, shrub']",train,Ireland,S1B_IW_GRDH_1SDV_20170717T064605_29UPV_60_4,S2A_MSIL2A_20170717T113321_60_4,False,False
S2B_MSIL2A_20170911T092019_N9999_R093_T34TFN_10_51,"['Broad-leaved forest' 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170913T043820_34TFN_10_51,S2B_MSIL2A_20170911T092019_10_51,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_17_00,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_17_0,S2A_MSIL2A_20170701T093031_17_0,False,False
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_79_65,"['Coniferous forest' 'Inland waters' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_79_65,S2B_MSIL2A_20170709T094029_79_65,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_48_79,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_48_79,S2B_MSIL2A_20170914T093029_48_79,False,False
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_12_20,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_12_20,S2B_MSIL2A_20170709T094029_12_20,False,False
S2A_MSIL2A_20180509T101031_N9999_R022_T34VDR_67_88,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180509T160543_34VDR_67_88,S2A_MSIL2A_20180509T101031_67_88,False,False
